event_time,user_host,sqlcommand
"2019-02-23 06:38:39.111576","root[root] @  [82.102.20.168]","select * from mysql.general_log
LIMIT 0, 1000"
"2019-02-23 06:38:39.187775","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 22"
"2019-02-23 06:38:39.239663","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 230"
"2019-02-23 06:38:39.289560","root[root] @  [82.102.20.168]","SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 230"
"2019-02-23 06:38:39.315976","root[root] @  [82.102.20.168]","SHOW INDEX FROM `mysql`.`general_log`"
"2019-02-23 06:38:55.389373","root[root] @  [82.102.20.168]","SHOW DATABASES"
"2019-02-23 06:38:55.461377","root[root] @  [82.102.20.168]","SHOW FULL TABLES FROM `classicmodels`"
"2019-02-23 06:38:55.487296","root[root] @  [82.102.20.168]","SHOW PROCEDURE STATUS WHERE Db='classicmodels'"
"2019-02-23 06:38:55.514604","root[root] @  [82.102.20.168]","SHOW FUNCTION STATUS WHERE Db='classicmodels'"
"2019-02-23 06:38:55.565264","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:38:55.574876","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`customers`"
"2019-02-23 06:38:55.591181","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:38:55.616709","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`offices`"
"2019-02-23 06:38:55.625165","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`customers`"
"2019-02-23 06:38:55.643242","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orderdetails`"
"2019-02-23 06:38:55.669191","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`orders`"
"2019-02-23 06:38:55.677214","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`employees`"
"2019-02-23 06:38:55.695103","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`payments`"
"2019-02-23 06:38:55.721220","root[root] @  [82.102.20.168]","SHOW FULL COLUMNS FROM `classicmodels`.`productlines`"
"2019-02-23 06:38:55.727199","root[root] @  [82.102.20.168]","SHOW INDEXES FROM `classicmodels`.`employees`"
